RSSDID,DATE,TOTLOAN_NET,ROA,CAPITAL_RATIO,event
333650,20030331,95222,0.005841032,0.101594773,0
333650,20030630,100385,0.011153324,0.112154956,0
333650,20030930,99090,0.017290478,0.104356578,0
333650,20031231,93462,0.01922739,0.097818983,0
333650,20040331,89724,0.004798992,0.106980553,0
333650,20040630,92781,0.010102227,0.106519334,0
333650,20040930,94631,0.016553196,0.110258533,0
333650,20041231,93170,0.021991963,0.10858526,0
342719,19950331,49226,0.005166642,0.059401468,0
342719,19950630,49254,0.009756098,0.066820664,0
342719,19950930,46347,0.013994209,0.068445152,0
342719,19951231,47775,0.01834092,0.064148216,0
342719,19960331,49754,0.004641544,0.061892995,0
342719,19960630,52806,0.008715563,0.060520552,0
342719,19960930,55645,0.013305955,0.061104568,0
342719,19961231,55974,0.018210934,0.062662374,0
342719,19970331,59269,0.004644115,0.061043353,0
342719,19970630,60162,0.009647122,0.06272088,0
342719,19970930,63119,0.0140103,0.062318926,0
342719,19971231,65024,0.018760504,0.064046966,0
342719,19980331,69547,0.004036644,0.064463694,0
342719,19980630,72521,0.008736621,0.064733333,0
342719,19980930,75763,0.012903906,0.065648043,0
342719,19981231,77794,0.016353973,0.062867508,0
342719,19990331,79288,0.003453437,0.06379688,0
342719,19990630,80253,0.007002734,0.061727686,0
342719,19990930,82852,0.010609502,0.063314816,0
342719,19991231,84049,0.014445174,0.061270486,0
342719,20000331,85163,0.003533488,0.063298153,0
342719,20000630,87571,0.006965729,0.06553994,0
344236,19950331,20653,0.002422837,0.091936719,0
344236,19950630,22288,0.004747775,0.088438475,0
344236,19950930,23680,0.007320312,0.090711712,0
344236,19951231,25621,0.009968054,0.094551786,0
344236,19960331,27658,0.001687282,0.092837453,0
344236,19960630,29255,0.003696431,0.092678914,0
344236,19960930,31368,0.006026768,0.094030831,0
344236,19961231,31408,0.008260607,0.097117364,0
344236,19970331,31775,0.00187219,0.089927535,0
344236,19970630,32540,0.004416287,0.091461038,0
